FAREID,JRNY_TYPE_ID,RTGNO,POS,REGION,ORIG,DEST,FARECLS,COMPARTMENT,FARE_CURR,PAX_TYPE,SALE_STR_DATE,SALE_END_DATE,TRAVEL_STR_DATE,TRAVEL_END_DATE,SEASON_STR_DATE,SEASON_END_DATE,DOW,MIN_STAY_UNIT,MIN_STAY_VAL,MAX_STAY_UNIT,MAX_STAY_VAL,FARE_TYPE,DEPARTURE_DATE,SNAP_DATE,CXR,BKG_TY,BKG_LY,BKG_YTD,RANK,MS_PERC,RNK_BASIS,YQ_YR_AMT_BC,Q_FUEL_AMT_BC,FAREAMT_BC,TAX_AMT_BC,Q_OTHERS_AMT_BC,TOTAL_AMT_BC,LAST_TOUCHED_DATE,INBOUND_BLACKOUT,EFFDT,ACTDISCDT,GPS_REC_STATUS,AP_UNIT,AP_VALUE,HUB,FLTRESTRICTION,RBD,YQ_YR_AMT,Q_FUEL_AMT,FAREAMT,TAX_AMT,Q_OTHERS_AMT,TOTAL_AMT,YQ_YR_AMT_EKFC,Q_FUEL_AMT_EKFC,FAREAMT_EKFC,TAX_AMT_EKFC,Q_OTHERS_AMT_EKFC,TOTAL_AMT_EKFC,CREATED_DATE,CREATED_BY,USD_TO_AED_MULT
2530023919,2,0700,US,AMERICAS,LAX,HAN,ELWEFUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,8/16/17,11/20/17,4567,,,M,12,S,8/27/17,8/14/17,EK,0,4,0,0,0,,600,0,1937,103.62,0,2640.62,7/27/17,,2/28/17,12/31/99,,,,DXB,,E,600,0,1937,103.62,0,2640.62,600,0,1937,103.62,0,2640.62,8/14/17,GPS,3.67303
2530050567,2,0700,US,AMERICAS,NYC,RGN,EKXEFUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,7/7/17,8/15/17,71234,,,M,12,S,8/14/17,8/14/17,EK,280,58,0,0,7.1,,600,0,1786,108.12,0,2494.12,7/13/17,,2/28/17,12/31/99,,,,DXB,,E,600,0,1786,108.12,0,2494.12,600,0,1786,108.12,0,2494.12,8/14/17,GPS,3.67303
2529949414,2,0700,US,AMERICAS,BOS,RGN,WKXESUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,7/7/17,8/15/17,71234,D,4,M,12,S,8/15/17,8/14/17,EK,186,42,0,0,55.69,,600,0,1462,108.12,0,2170.12,7/13/17,,2/28/17,12/31/99,,,,DXB,,W,600,0,1462,108.12,0,2170.12,600,0,1462,108.12,0,2170.12,8/14/17,GPS,3.67303
2529949417,2,0700,US,AMERICAS,BOS,RGN,WLXESUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,8/16/17,11/20/17,71234,D,4,M,12,S,9/3/17,8/14/17,EK,186,42,0,0,55.69,,600,0,1387,108.12,0,2095.12,7/13/17,,2/28/17,12/31/99,,,,DXB,,W,600,0,1387,108.12,0,2095.12,600,0,1387,108.12,0,2095.12,8/14/17,GPS,3.67303
2530050549,2,0700,US,AMERICAS,NYC,RGN,BKW6SUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,7/7/18,8/15/18,4567,1,SUN,M,6,S,7/12/18,8/14/17,EK,280,58,0,0,7.1,,600,0,1266,108.12,0,1974.12,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,B,600,0,1266,108.12,0,1974.12,600,0,1266,108.12,0,1974.12,8/14/17,GPS,3.67303
2529964775,2,0700,US,AMERICAS,CHI,RGN,BLW6SUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,8/16/17,11/20/17,4567,1,SUN,M,6,S,8/27/17,8/14/17,EK,124,46,0,0,7.55,,600,0,1262,103.62,0,1965.62,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,B,600,0,1262,103.62,0,1965.62,600,0,1262,103.62,0,1965.62,8/14/17,GPS,3.67303
2530133827,2,0700,US,AMERICAS,WAS,RGN,BLX6SUS1,Y,USD,ADT,2/28/17,12/31/99,8/2/16,12/31/99,8/16/17,11/20/17,71234,1,SUN,M,6,S,9/5/17,8/14/17,EK,68,134,0,0,4.31,,600,0,1162,108.12,0,1870.12,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,B,600,0,1162,108.12,0,1870.12,600,0,1162,108.12,0,1870.12,8/14/17,GPS,3.67303
2530114712,2,3400,US,AMERICAS,SEA,MLE,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/18/17,8/14/17,EK,40,74,0,0,61.54,,624,0,11025,127.12,0,11776.12,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,624,0,11025,127.12,0,11776.12,624,0,11025,127.12,0,11776.12,8/14/17,GPS,3.67303
2530109315,2,3400,US,AMERICAS,SEA,DAR,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/25/17,8/14/17,EK,54,76,0,0,39.13,,588,0,10576,126.12,0,11290.12,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,588,0,10576,126.12,0,11290.12,588,0,10576,126.12,0,11290.12,8/14/17,GPS,3.67303
2530109315,2,3400,US,AMERICAS,SEA,DAR,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/9/17,8/14/17,EK,54,76,0,0,39.13,,588,0,10576,126.12,0,11290.12,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,588,0,10576,126.12,0,11290.12,588,0,10576,126.12,0,11290.12,8/14/17,GPS,3.67303
2530049023,2,3400,US,AMERICAS,NYC,MEL,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/20/17,8/14/17,EK,12,35,0,0,0.68,,692,0,9595,167.00,0,10454.00,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,692,0,9595,167.00,0,10454.00,692,0,9595,167.00,0,10454.00,8/14/17,GPS,3.67303
2530049023,2,3400,US,AMERICAS,NYC,MEL,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/3/17,8/14/17,EK,12,35,0,0,0.68,,692,0,9595,167.00,0,10454.00,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,692,0,9595,167.00,0,10454.00,692,0,9595,167.00,0,10454.00,8/14/17,GPS,3.67303
2530049023,2,3400,US,AMERICAS,NYC,MEL,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/31/17,8/14/17,EK,12,35,0,0,0.68,,692,0,9595,167.00,0,10454.00,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,692,0,9595,167.00,0,10454.00,692,0,9595,167.00,0,10454.00,8/14/17,GPS,3.67303
2530023609,2,3400,US,AMERICAS,LAX,DXB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/25/17,8/14/17,EK,2403,1714,0,0,57.3,,484,0,9193,90.73,0,9767.73,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,484,0,9193,90.73,0,9767.73,484,0,9193,90.73,0,9767.73,8/14/17,GPS,3.67303
2530023609,2,3400,US,AMERICAS,LAX,DXB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/20/17,8/14/17,EK,2403,1714,0,0,57.3,,484,0,9193,90.73,0,9767.73,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,484,0,9193,90.73,0,9767.73,484,0,9193,90.73,0,9767.73,8/14/17,GPS,3.67303
2529936492,2,3400,US,AMERICAS,BOS,EBB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/18/17,8/14/17,EK,367,241,0,0,37.26,,588,0,8749,138.82,0,9475.82,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,588,0,8749,138.82,0,9475.82,588,0,8749,138.82,0,9475.82,8/14/17,GPS,3.67303
2529959773,2,3400,US,AMERICAS,CHI,EBB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/8/17,8/14/17,EK,73,57,0,0,7.3,,588,0,8749,134.32,0,9471.32,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,588,0,8749,134.32,0,9471.32,588,0,8749,134.32,0,9471.32,8/14/17,GPS,3.67303
