CountryName,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50,,-3.05,,0.67,,-14.05,,20.90,,-0.81,,4.82,,-15.92,,19.52,,-1.07,,7.41,,-12.31,,16.62,,-0.80,,0.79,,-10.41,,20.20,,-4.67,,-4.04,,-7.91,,21.05,,-3.58,,-1.70,,-7.92,,15.63,,-1.66,,-2.38,,-10.24,,18.28,,-1.35,,-3.44,,-9.59,,15.43,,-10.59,,8.39,,-10.79,,12.83,,-7.17,,10.14,,-11.27,,18.51,,-8.49,,,,,,,,,,,,,,,
Argentina,-6.70,,7.83,,-2.98,,0.48,,-6.79,,9.88,,-7.61,,-5.42,,-12.86,,13.59,,-3.61,,1.24,,-4.89,,16.10,,-1.46,,2.69,,-5.30,,11.74,,-6.46,,0.70,,1.87,,17.84,,-11.51,,1.47,,1.93,,15.35,,-8.32,,1.74,,0.71,,16.95,,-9.52,,2.53,,-1.46,,15.35,,-9.04,,-5.19,,-5.69,,9.10,,-3.28,,0.77,,-0.59,,19.97,,-8.88,,-0.06,,-0.88,,15.70,,-7.17,,-1.18,,-4.32,,8.64,,-3.75,,0.50,,-4.23,,14.68,,-7.09,,-2.06,,-5.03,,13.34,,-9.16,,-0.60,,-2.25,,17.74,,-9.25,,-1.72,,-4.22,,12.77,,-9.25,,0.09,,-2.05,,,
Armenia,-58.82,,72.33,,49.64,,5.39,,-58.73,,54.51,,65.45,,2.69,,-56.71,,62.47,,61.79,,9.86,,-61.82,,76.10,,57.92,,5.71,,-62.00,,78.50,,63.09,,5.61,,-52.61,,51.55,,54.15,,4.27,,-50.30,,57.73,,39.04,,3.23,,-51.00,,62.32,,52.93,,-1.70,,-51.17,,56.80,,58.65,,-19.46,,-50.05,,30.78,,57.99,,-4.28,,-44.39,,33.27,,36.49,,4.55,,-42.24,,34.74,,41.32,,3.09,,-44.10,,37.31,,43.87,,0.39,,-41.40,,27.28,,41.05,,3.60,,-42.73,,26.12,,45.59,,1.67,,-43.37,,27.47,,45.26,,-1.22,,-42.11,,24.95,,37.85,,0.41,,-38.07,,,
Austria,-6.44,,5.26,,0.93,,3.06,,-5.70,,3.16,,0.32,,2.99,,-5.36,,4.11,,0.68,,2.55,,-6.38,,3.77,,1.33,,2.72,,-5.52,,4.67,,1.56,,2.23,,-6.77,,5.83,,1.01,,3.23,,-5.68,,4.23,,1.68,,3.69,,-4.84,,3.93,,0.46,,3.38,,-4.39,,2.97,,-0.13,,0.95,,-8.55,,2.12,,2.14,,4.12,,-8.15,,5.02,,2.58,,3.36,,-5.53,,3.21,,1.28,,2.11,,-4.88,,1.82,,1.36,,2.93,,-6.76,,2.84,,1.81,,3.32,,-6.82,,2.96,,1.34,,3.28,,-6.43,,2.63,,2.21,,3.01,,-5.93,,2.42,,2.02,,3.33,,-5.05,,2.12,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.06,,-14.48,,6.54,,24.31,,-2.25,,-15.66,,6.79,,23.91,,-4.01,,-12.44,,6.11,,24.84,,-6.76,,33.05,,13.13,,25.82,,-9.36,,-13.15,,14.43,,14.81,,-8.62,,-7.92,,15.09,,4.97,,-9.88,,-5.10,,14.35,,3.86,,-11.72,,-0.56,,9.21,,5.72,,-13.62,,1.21,,9.54,,6.45,,-12.94,,-3.61,,6.85,,6.56,,-12.75,,,,,,,,,,,,,
Belgium,-4.75,,4.04,,-3.92,,8.18,,-5.82,,3.44,,-4.65,,7.33,,-5.08,,4.67,,-4.21,,7.97,,-6.40,,3.75,,-4.26,,8.61,,-4.68,,4.68,,-3.87,,8.18,,-5.87,,4.34,,-4.41,,8.83,,-5.63,,4.09,,-4.03,,9.06,,-4.95,,4.20,,-4.18,,8.45,,-5.70,,4.21,,-5.41,,5.51,,-7.34,,3.12,,-2.79,,8.83,,-6.26,,4.34,,-3.47,,8.38,,-5.86,,3.32,,-3.62,,7.86,,-6.34,,3.04,,-3.97,,7.54,,-7.08,,3.97,,-3.56,,8.22,,-6.30,,4.07,,-3.63,,7.97,,-6.48,,4.59,,-4.09,,8.29,,-6.79,,4.57,,-4.14,,8.20,,-6.25,,4.31,
Belize,,,-8.86,,-7.27,,13.81,,6.40,,3.00,,-10.92,,-5.37,,23.04,,-1.20,,-13.90,,7.67,,17.47,,-1.76,,-6.84,,0.31,,14.92,,-1.84,,-10.98,,6.38,,12.68,,-3.10,,-14.67,,10.03,,9.93,,-2.13,,-4.55,,2.98,,8.83,,-2.64,,-11.15,,4.48,,10.25,,2.86,,-9.82,,-0.71,,6.95,,4.75,,-9.38,,1.96,,6.28,,2.93,,-9.01,,8.52,,5.73,,-3.74,,-7.48,,4.50,,11.92,,-3.22,,-8.64,,4.03,,9.60,,-2.28,,-9.03,,4.87,,6.06,,7.93,,-11.76,,0.61,,11.53,,-1.17,,-10.99,,2.49,,,,,,,,,,,,,
Bolivia,-7.09,,12.47,,-7.85,,5.90,,-8.90,,13.49,,-6.30,,6.50,,-10.48,,16.27,,-6.41,,3.59,,-8.33,,16.18,,-8.53,,6.12,,-7.44,,15.36,,-6.32,,2.63,,-5.82,,14.84,,-6.48,,4.26,,-6.76,,14.23,,-4.79,,3.72,,-9.12,,15.98,,-3.64,,4.47,,-8.74,,16.34,,-3.48,,1.67,,-9.83,,15.49,,-2.13,,2.65,,-11.04,,16.12,,-2.20,,4.58,,-10.60,,14.02,,-1.30,,4.64,,-10.83,,13.35,,-1.10,,6.49,,-10.48,,13.59,,-0.91,,5.21,,-10.57,,12.40,,0.25,,4.37,,-10.89,,12.88,,-1.00,,5.86,,-10.94,,10.61,,0.63,,4.59,,,,,
Botswana,-6.40,,7.10,,5.42,,-0.08,,-7.86,,5.85,,3.43,,-6.72,,0.28,,6.87,,1.45,,8.01,,-10.33,,10.91,,-1.62,,1.54,,-6.80,,1.47,,11.12,,1.37,,-7.72,,1.41,,8.95,,2.23,,-0.66,,-0.23,,6.83,,-2.46,,2.41,,4.90,,1.43,,-0.36,,0.86,,4.07,,3.18,,-3.87,,-12.30,,6.52,,-0.18,,3.61,,0.93,,0.84,,5.75,,-0.98,,0.37,,2.84,,-0.38,,5.48,,-1.13,,-0.55,,-0.76,,7.41,,3.54,,2.07,,-0.07,,3.86,,-2.46,,3.29,,1.33,,0.61,,-2.42,,0.21,,-3.88,,2.61,,3.52,,1.75,,-1.14,,0.05,,,,,
Brazil,-2.36,,3.62,,3.57,,-0.18,,-3.41,,2.47,,1.68,,-1.16,,-2.43,,4.33,,3.54,,-0.22,,-4.75,,2.41,,3.38,,-0.25,,-1.64,,4.81,,3.63,,-0.58,,-3.51,,5.10,,1.29,,-0.55,,-1.50,,3.09,,3.47,,-0.26,,-1.13,,4.40,,2.83,,0.47,,-1.57,,4.58,,3.45,,-5.12,,-4.94,,4.82,,4.55,,1.10,,-1.43,,4.15,,3.00,,-0.05,,-1.89,,3.66,,1.86,,-0.98,,-2.72,,2.93,,3.36,,-0.99,,-2.50,,4.23,,2.12,,-1.19,,-1.58,,0.29,,1.87,,-0.86,,-3.03,,-0.91,,0.22,,-2.14,,-2.69,,1.02,,0.96,,-1.73,,-0.58,,1.65,
