Date,AsiaPacific,Americas,Europe,MiddleEastAfrica
1/1/12,60.5,49.7,51,55.3
2/1/12,68,57.7,57.7,62.4
3/1/12,70.7,63.5,63.4,64.7
4/1/12,68.9,61.7,65.5,63.5
5/1/12,66.7,63.3,70.2,60.2
6/1/12,67.3,69.8,73.1,58.3
7/1/12,69.4,69.8,71.8,56.6
8/1/12,69.8,67.8,71.1,54.1
9/1/12,68,63.3,76.3,60.7
10/1/12,70.3,64.1,71.1,65.4
11/1/12,71.6,56.9,64.8,65.7
12/1/12,66.3,49.2,54.5,57.7
1/1/13,64.4,51.3,51.2,60
2/1/13,62.5,58.8,59.2,66.4
3/1/13,70,63.7,63.8,67.1
4/1/13,68.6,63.8,67.3,65.7
5/1/13,65.9,64,72,62.7
6/1/13,67.1,69.6,75.3,61.8
7/1/13,69.6,71,73.5,49
8/1/13,71.8,69.3,74.2,56.1
9/1/13,68.5,63.5,77.1,58.1
10/1/13,72.5,64.7,73.2,63.1
11/1/13,72.4,58,67.3,64.6
12/1/13,66.3,50.5,56.5,59.6
1/1/14,62.1,52.5,52.8,62
2/1/14,67.1,60.6,60.8,67.4
3/1/14,69.2,65.2,64.9,66.9
4/1/14,68.8,65.4,68.3,67
5/1/14,67.6,66.9,74,63.5
6/1/14,66.4,71.2,75.1,61.3
7/1/14,70,73.2,73.9,49.3
8/1/14,72.6,71.6,75.7,64.3
9/1/14,69.2,65.7,79.4,65.5
10/1/14,72,67.7,74.7,67.6
11/1/14,72.2,59.3,68.2,67.4
12/1/14,67,52.7,59.3,61.9
1/1/15,64.7,54.5,54.4,62.8
2/1/15,64.6,62.3,62.6,67.2
3/1/15,68.7,66.6,66.5,68.7
4/1/15,69.6,66.5,69.5,66.2
5/1/15,68.1,67.1,74.1,65.1
6/1/15,66.2,72.6,78.1,56.1
7/1/15,70.7,74.8,77.3,55.1
8/1/15,72.7,70.6,77.1,62.9
9/1/15,68.1,67.6,80.7,64.9
10/1/15,71.1,68.5,76.1,65.1
11/1/15,70.4,59.7,68.1,64.6
12/1/15,67.4,53,59.1,60.4
1/1/16,66.1,54,54.7,60.6
2/1/16,64.2,61.5,63.1,64.2
3/1/16,69.6,65.9,66.2,67.3
4/1/16,70.5,67.5,71.4,64.5
5/1/16,67.6,66.4,73.4,63.7
6/1/16,67,72.2,77.1,47
7/1/16,72.1,73.9,76.7,57.6
8/1/16,73.3,70.1,75.8,62.9
9/1/16,69.1,68.4,81,63.5
10/1/16,71.3,67.9,75.3,61.7
11/1/16,72.3,60.8,70.3,66.6
12/1/16,68.8,52.9,61.2,60.7
1/1/17,64.8,54.1,57.1,61
2/1/17,68.7,61.1,64.5,66.3
3/1/17,71.7,67.5,69.1,66.6
4/1/17,72.6,66.9,72.4,68.4
5/1/17,68.9,67.3,75.6,60.6
6/1/17,69.2,72.5,77.4,47.5
7/1/17,74.4,73.4,78.5,58
8/1/17,75.3,70.6,77.4,61.8
